时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2018-04-24,二",65.4,67.06,65.28,66.56,2.42%,2.74%,"90,695,407","6,024,928,800",0.837,110434
"2018-04-25,三",66.04,66.46,65.31,65.5,-1.59%,1.73%,"47,782,761","3,141,687,200",0.441,63490
"2018-04-26,四",65.68,65.89,62.81,63.12,-3.63%,4.70%,"84,155,382","5,364,615,000",0.777,114800
"2018-04-27,五",63.55,63.73,58.34,60.89,-3.53%,8.54%,"260,286,260","15,747,812,000",2.4,267298
"2018-05-02,三",61.36,61.79,60.75,61.34,0.74%,1.71%,"70,890,842","4,341,690,800",0.654,80486
"2018-05-03,四",60.88,61.58,59.9,61.44,0.16%,2.74%,"62,912,538","3,831,120,300",0.581,82449
"2018-05-04,五",61.33,61.64,60.64,60.71,-1.19%,1.63%,"44,158,675","2,694,568,400",0.408,62598
"2018-05-07,一",60.55,61.47,59.71,61.19,0.79%,2.90%,"82,944,783","5,035,372,500",0.766,103394
"2018-05-08,二",61.36,63.88,61.24,63.08,3.09%,4.31%,"117,472,062","7,388,303,900",1.08,142525
"2018-05-09,三",63.1,63.4,62.52,62.95,-0.21%,1.40%,"48,443,100","3,048,008,900",0.447,62648
"2018-05-10,四",63.3,63.75,62.61,63.18,0.37%,1.81%,"49,817,832","3,143,778,300",0.46,61073
"2018-05-11,五",63.58,63.66,62.81,63.1,-0.13%,1.35%,"45,210,551","2,859,210,100",0.417,50549
"2018-05-14,一",63.7,64.58,63.5,64.1,1.58%,1.71%,"68,370,916","4,387,898,500",0.631,80839
"2018-05-15,二",64.5,64.59,63.4,63.97,-0.20%,1.86%,"52,952,916","3,376,776,300",0.489,64146
"2018-05-16,三",63.68,63.92,62.63,62.81,-1.81%,2.02%,"55,951,439","3,539,081,200",0.517,69887
"2018-05-17,四",63.09,63.19,61.94,62,-1.29%,1.99%,"47,778,223","2,981,258,100",0.441,69534
"2018-05-18,五",61.88,63.12,61.59,63.04,1.68%,2.47%,"56,625,326","3,532,704,100",0.523,65793
"2018-05-21,一",63.55,64.15,63.27,63.66,0.98%,1.40%,"70,506,571","4,492,367,200",0.651,72699
"2018-05-22,二",63.58,63.84,62.5,63.01,-1.02%,2.10%,"43,769,214","2,757,950,400",0.404,61716
"2018-05-23,三",62.95,62.95,61.67,61.76,-1.98%,2.03%,"56,915,452","3,531,232,700",0.525,80040
"2018-05-24,四",61.96,62.27,61.16,61.22,-0.87%,1.80%,"44,151,327","2,725,820,800",0.408,55768
"2018-05-25,五",61.38,62.18,61.34,61.53,0.51%,1.37%,"35,392,969","2,183,914,000",0.327,48084
"2018-05-28,一",61.8,62.88,61.55,62.5,1.58%,2.16%,"45,894,875","2,861,428,800",0.424,60661
"2018-05-29,二",62.32,62.66,61.3,62.38,-0.19%,2.18%,"63,647,446","3,944,873,800",0.588,62581
"2018-05-30,三",61.31,61.7,60.58,60.65,-2.77%,1.80%,"49,083,664","2,998,177,200",0.453,74674
"2018-05-31,四",61.11,62.18,60.71,62.13,2.44%,2.42%,"66,538,831","4,096,852,000",0.614,76983
"2018-06-01,五",61.91,62.19,61.28,61.64,-0.79%,1.46%,"40,800,764","2,516,196,000",0.377,52020
"2018-06-04,一",62.1,63.71,61.9,63.53,3.07%,2.94%,"85,889,740","5,418,564,800",0.793,108497
"2018-06-05,二",63.59,65,63.21,64.58,1.65%,2.82%,"88,517,255","5,683,936,000",0.817,100929
"2018-06-06,三",64.43,64.45,63.71,63.81,-1.19%,1.15%,"49,022,028","3,140,622,800",0.453,67924
"2018-06-07,四",63.27,64.54,63.02,63.24,-0.89%,2.38%,"74,626,679","4,763,077,400",0.689,89498
"2018-06-08,五",62.97,63.24,61.95,62.39,-1.34%,2.04%,"57,939,137","3,617,103,500",0.535,75571
"2018-06-11,一",62.25,63.2,61.85,63.03,1.03%,2.16%,"51,280,313","3,204,236,400",0.473,58690
"2018-06-12,二",63.2,64.25,62.82,63.9,1.38%,2.27%,"76,355,925","4,866,437,100",0.705,85243
"2018-06-13,三",63.8,63.91,63.35,63.75,-0.23%,0.88%,"45,905,326","2,922,589,400",0.424,52788
"2018-06-14,四",63.58,65.35,63.45,64.44,1.08%,2.98%,"79,848,471","5,164,445,300",0.737,97830
"2018-06-15,五",64.1,65.16,64.02,64.63,0.29%,1.77%,"66,658,272","4,315,505,700",0.615,75729
"2018-06-19,二",63.8,64.2,61.8,62.09,-3.93%,3.71%,"127,826,360","8,087,342,700",1.18,111437
"2018-06-20,三",61.9,62.54,60.78,61.85,-0.39%,2.83%,"74,319,522","4,589,333,000",0.686,90465
"2018-06-21,四",61.86,62.56,61,61.09,-1.23%,2.52%,"60,549,396","3,743,256,900",0.559,72351
"2018-06-22,五",60.6,61.5,60.6,61.07,-0.03%,1.47%,"46,537,639","2,837,582,700",0.43,57718
"2018-06-25,一",61.28,61.35,59.6,59.79,-2.10%,2.87%,"60,749,672","3,673,033,300",0.561,86745
"2018-06-26,二",59.1,59.61,57.8,59.24,-0.92%,3.03%,"71,792,764","4,222,114,900",0.663,93352
"2018-06-27,三",59.1,59.45,57.44,57.5,-2.94%,3.39%,"69,708,410","4,051,818,400",0.644,92800
"2018-06-28,四",57.11,57.95,56.53,56.83,-1.17%,2.47%,"73,599,124","4,196,752,200",0.679,83131
"2018-06-29,五",57.12,58.63,57.1,58.58,3.08%,2.69%,"64,511,204","3,729,377,800",0.596,79471
"2018-07-02,一",58.28,58.28,54.65,55.22,-5.74%,6.20%,"90,018,916","5,082,587,200",0.831,122712
"2018-07-03,二",55.6,56.56,54.33,56.34,2.03%,4.04%,"94,916,701","5,276,896,800",0.876,108364
"2018-07-04,三",56.23,56.88,55.37,55.52,-1.46%,2.68%,"51,949,368","2,909,529,900",0.48,59370
"2018-07-05,四",55.7,56.27,55.18,55.53,0.02%,1.96%,"54,843,432","3,054,478,700",0.506,54579
"2018-07-06,五",55.98,57.65,55.54,56.94,2.54%,3.80%,"82,431,119","4,674,671,800",0.761,85851
"2018-07-09,一",57.6,58.91,57.2,58.88,3.41%,3.00%,"69,604,304","4,054,247,000",0.643,79195
"2018-07-10,二",59,59.05,57.55,58.18,-1.19%,2.55%,"55,562,743","3,233,279,800",0.513,73820
"2018-07-11,三",56.75,57.51,56.56,57.09,-1.87%,1.63%,"47,378,185","2,701,645,200",0.437,53631
"2018-07-12,四",57.24,58.89,57.24,58.38,2.26%,2.89%,"64,770,763","3,777,942,000",0.598,69687
"2018-07-13,五",58.77,58.92,58.28,58.54,0.27%,1.10%,"39,378,546","2,307,228,900",0.364,43770
